Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
60185320,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
60195236,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
18445127489238631126,1B000085,true,Rx,0,8,85,40,01,0C,00,00,00,00,
18445127489238640726,000001A0,false,Rx,0,8,36,09,71,F2,3F,00,00,00,
18445127489238640939,000001AC,false,Rx,0,8,6F,09,FF,F3,BF,FF,19,03,
18445127489238641238,17F00085,true,Rx,0,8,20,85,00,00,00,00,01,80,
18445127489238641494,1A5554A7,true,Rx,0,8,02,A0,02,00,00,00,00,80,
60205249,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
18445127489238641792,1A555510,true,Rx,0,8,80,34,4E,30,30,D5,00,00,
60215258,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
18445127489238660565,000001A0,false,Rx,0,8,14,0A,71,F2,3F,00,00,00,
18445127489238660778,000001AC,false,Rx,0,8,43,0A,FF,F3,BF,FF,19,03,
60225228,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
60235279,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
18445127489238680489,000001A0,false,Rx,0,8,71,0B,71,F2,3F,00,00,00,
18445127489238680745,000001AC,false,Rx,0,8,EB,0B,FF,F3,BF,FF,19,03,
60245177,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
60255291,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
18445127489238700541,000001A0,false,Rx,0,8,AB,0C,71,F2,3F,00,00,00,
18445127489238700754,000001AC,false,Rx,0,8,AD,0C,FF,F3,BF,FF,19,03,
18445127489238701010,000002C0,false,Rx,0,8,80,0B,00,37,E0,3F,02,00,
60265194,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
60276215,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
18445127489238720550,000001A0,false,Rx,0,8,E9,0D,71,F2,3F,00,00,00,
18445127489238720763,000001AC,false,Rx,0,8,95,0D,FF,F3,BF,FF,19,03,
60286263,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
18445127489238740517,000001A0,false,Rx,0,8,90,0E,71,F2,3F,00,00,00,
18445127489238740773,000001AC,false,Rx,0,8,F2,0E,FF,F3,BF,FF,19,03,
18445127489238760526,000001A0,false,Rx,0,8,83,0F,71,F2,3F,00,00,00,
18445127489238760740,000001AC,false,Rx,0,8,B0,0F,FF,F3,BF,FF,19,03,
18445127489238780536,000001A0,false,Rx,0,8,74,00,71,F2,3F,00,00,00,
18445127489238780749,000001AC,false,Rx,0,8,13,00,FF,F3,BF,FF,19,03,
18445127489238781005,000002C0,false,Rx,0,8,D8,0C,00,37,E0,3F,02,00,
60354573,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
18445127489238800502,000001A0,false,Rx,0,8,C3,01,71,F2,3F,00,00,00,
18445127489238800716,000001AC,false,Rx,0,8,DD,01,FF,F3,BF,FF,19,03,
60366255,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
60376265,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
18445127489238820469,000001A0,false,Rx,0,8,B2,02,71,F2,3F,00,00,00,
18445127489238820725,000001AC,false,Rx,0,8,27,02,FF,F3,BF,FF,19,03,
60386240,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
18445127489238830581,1B000085,true,Rx,0,8,85,40,01,05,00,00,00,00,
60396191,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
18445127489238840521,000001A0,false,Rx,0,8,C2,03,71,F2,3F,00,00,00,
18445127489238840735,000001AC,false,Rx,0,8,ED,03,FF,F3,BF,FF,19,03,
