Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6626694,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
8752,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
20067,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
29877,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
39950,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
49852,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
59887,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
69857,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
79895,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
89931,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
99906,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
109949,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
119887,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
129909,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
139896,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
149908,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
159904,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
169888,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
179901,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
189875,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
199899,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
209929,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
219880,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
229833,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
239869,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
249846,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
259847,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
269854,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
337752,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
347911,000003C0,false,Tx,0,8,00,00,02,00,00,00,00,00,
